Player,SlatePlayerID,Ownership,Sample,%:,Cut,Top 20,Top 5,Win,DK:,SD,Salary,Finish Pts,Scoring Pts,Points,Value,FD:,SD,Salary,Finish Pts,Scoring Pts,Points,Value
Rory McIlroy,13008762,9.38,150,,1,0.659625,0.26325,0.071475,,21.22127298,11100,9.43472,70.505282,79.94,2.24,,22.47806827,11700,6.861396,70.7307972,77.59,3.97
Dustin Johnson,13008761,9.38,150,,1,0.632775,0.240975,0.0626,,21.15638719,11400,8.860016,70.111246,78.97,0.71,,22.47455285,12000,6.469352,70.099122,76.57,2.4
Patrick Cantlay,13008766,9.38,150,,1,0.62885,0.234175,0.059525,,20.61479145,9800,8.674232,68.539038,77.21,3.95,,22.11893795,10900,6.330692,68.5830208,74.91,5.71
Jon Rahm,13008764,9.38,150,,1,0.61125,0.221775,0.05515,,20.74642003,10400,8.467228,68.32111,76.79,1.97,,22.18878352,11200,6.172756,68.1897776,74.36,3.63
Brooks Koepka,13008760,9.38,150,,1,0.536925,0.1746,0.0394,,20.22351921,11600,7.45284,67.619794,75.07,-2.63,,22.27803546,11900,5.445216,66.779652,72.22,-1.26
Justin Rose,13008767,9.38,150,,1,0.5626,0.18665,0.041225,,19.84389999,9500,7.582216,66.542218,74.12,2.6,,21.74843552,11000,5.547428,65.8953224,71.44,4.09
Justin Thomas,13008763,9.38,150,,1,0.546075,0.17675,0.0418,,19.9933926,10700,7.329848,66.59259,73.92,-0.92,,22.01632018,11100,5.381712,65.7789588,71.16,0.52
Hideki Matsuyama,13008771,9.38,150,,1,0.52145,0.160975,0.035325,,19.68350696,8900,6.955076,66.121948,73.08,3.54,,21.73103547,10500,5.056232,65.0534216,70.11,4.83
Xander Schauffele,13008768,9.38,150,,1,0.513975,0.15845,0.035925,,20.03431845,9300,7.012908,66.078104,73.09,2.43,,22.15455323,10800,5.077276,65.0006024,70.08,3.68
Adam Scott,13008773,9.38,150,,1,0.502225,0.1502,0.03295,,19.87555598,8700,6.879844,65.553638,72.43,3.64,,22.10289256,10300,4.992232,64.311848,69.3,4.81
Tommy Fleetwood,13008765,9.38,150,,1,0.48335,0.1395,0.029625,,19.11737351,10200,6.463736,64.97157,71.44,-1.28,,21.42297096,10700,4.724024,63.6555376,68.38,-0.06
Webb Simpson,13008778,9.38,150,,1,0.50635,0.151025,0.03285,,18.93070535,8200,6.668028,64.671934,71.34,4.27,,21.16443768,9500,4.866872,63.4318168,68.3,5.51
Paul Casey,13008779,9.38,150,,1,0.4857,0.1377,0.0293,,18.67833983,8200,6.4658,64.310458,70.78,3.88,,21.00610213,9600,4.77916,63.0457904,67.82,5.16
Matt Kuchar,13008770,9.38,150,,1,0.470325,0.1293,0.0258,,18.8047807,9000,6.38668,63.934728,70.32,1.3,,21.25246915,10000,4.656384,62.6073672,67.26,2.52
Gary Woodland,13008781,9.38,150,,1,0.458475,0.128275,0.024375,,19.09912951,8100,6.232144,63.9661,70.2,3.74,,21.49407055,9100,4.489344,62.42023,66.91,4.8
Jason Day,13008777,9.38,150,,1,0.458925,0.12505,0.026275,,19.08887578,8300,6.109332,63.958388,70.07,3.09,,21.61406177,10200,4.399536,62.378756,66.78,4.14
Bryson DeChambeau,13008772,9.38,150,,1,0.4539,0.121875,0.0241,,18.65514922,8800,5.881276,63.546228,69.43,1.23,,21.19208561,10400,4.251228,61.7737292,66.02,2.2
Tony Finau,13008776,9.38,150,,1,0.428675,0.10925,0.0209,,18.680972,8400,5.784808,62.958678,68.74,1.86,,21.18774893,9900,4.173756,61.0132028,65.19,2.73
Henrik Stenson,13008769,9.38,150,,1,0.42705,0.10535,0.020225,,18.20903315,9100,5.68988,62.714172,68.4,-0.35,,20.71393668,10600,4.119824,60.8088492,64.93,0.58
Shane Lowry,13008775,9.38,150,,1,0.4015,0.098,0.01905,,18.21720397,8500,5.571076,62.814644,68.39,1.33,,20.8844897,9200,4.015296,60.7884388,64.8,2.17
Matthew Fitzpatrick,13008788,9.38,150,,1,0.348525,0.078375,0.013925,,18.20854654,7700,5.00026,61.47397,66.47,2.21,,21.0999194,9700,3.549824,58.9849764,62.53,2.81
Louis Oosthuizen,13008780,9.38,150,,1,0.3538,0.080575,0.01385,,18.0098762,8100,4.899708,61.354196,66.25,0.93,,20.75174918,9400,3.43628,58.7205308,62.16,1.42
Tyrrell Hatton,13008783,9.38,150,,1,0.35125,0.076025,0.012925,,17.81920571,8000,4.943832,61.142228,66.09,1.1,,20.65497228,8900,3.51962,58.603094,62.12,1.67
Sergio Garcia,13008787,9.38,150,,1,0.342875,0.075275,0.0119,,18.06079212,7800,4.84676,60.917704,65.76,1.43,,21.02221714,8800,3.442776,58.2030712,61.65,1.9
Chez Reavie,13008785,9.38,150,,1,0.348675,0.07705,0.012675,,17.49579431,7900,4.857344,61.050668,65.91,1.25,,20.43757016,8700,3.443964,58.423356,61.87,1.77
Patrick Reed,13008782,9.38,150,,1,0.35255,0.076725,0.013125,,17.5053882,8000,4.811748,60.877208,65.69,0.82,,20.36014498,9300,3.413672,58.25068,61.66,1.34
Billy Horschel,13008792,9.38,150,,1,0.3214,0.067775,0.011025,,17.40409628,7500,4.660792,60.756826,65.42,2.03,,20.27577602,9000,3.328384,57.9958788,61.32,2.51
Rafa Cabrera Bello,13008784,9.38,150,,1,0.327375,0.0687,0.010475,,17.6163246,7900,4.645448,59.894542,64.54,0.28,,20.59805403,8600,3.231932,57.0828408,60.31,0.66
Keegan Bradley,13008805,9.38,150,,1,0.31635,0.0669,0.0099,,17.27707991,6900,4.363444,59.943762,64.31,2.93,,20.23337118,8300,3.038,56.8983168,59.94,3.21
Marc Leishman,13008791,9.38,150,,1,0.312025,0.064975,0.010475,,17.32342527,7600,4.41664,59.801076,64.22,0.89,,20.18160735,9800,3.098876,56.7833332,59.88,1.2
Matt Wallace,13008789,9.38,150,,1,0.3131,0.064225,0.010025,,16.8502215,7700,4.358972,60.11135,64.47,0.79,,19.89767376,9000,3.048176,57.0796192,60.13,1.1
Hao-Tong Li,13008810,9.38,150,,1,0.282325,0.055625,0.00855,,17.09070058,6600,4.099928,59.970408,64.07,3.6,,20.24216979,8100,2.8082,56.63865,59.45,3.71
Jordan Spieth,13008774,9.38,150,,1,0.2934,0.058525,0.009025,,17.18081558,8600,4.17244,59.737272,63.91,-2.14,,20.20460072,10100,2.90734,56.4336408,59.34,-1.99
Jim Furyk,13008803,9.38,150,,1,0.31425,0.06045,0.009375,,16.79057698,7000,4.380236,59.347128,63.73,2.23,,19.79540484,8000,3.077248,56.4882764,59.57,2.67
