player,Salary
Aaron Rai,6100
Adam Long,6300
Adam Scott,8500
Alexander Noren,7300
Andrew Putnam,7600
Billy Horschel,7400
Brandt Snedeker,7400
Brooks Koepka,10700
Bryson DeChambeau,8700
Bubba Watson,7100
Cameron Smith,7200
Cheng Tsung Pan,6700
Chez Reavie,7700
Corey Conners,6300
Danny Willett,7400
Dustin Johnson,10500
Eddie Pepperell,7100
Gary Woodland,7900
Hao Tong Li,6500
Henrik Stenson,8900
Hideki Matsuyama,8800
Ian Poulter,7300
J.B. Holmes,6900
Jason Day,8100
Jim Furyk,7000
Jon Rahm,9800
Jordan Spieth,8600
Justin Harding,6700
Justin Rose,9100
Justin Thomas,10000
Keegan Bradley,7000
Keith Mitchell,6500
Kevin Kisner,7300
Kevin Na,6800
Kevin Tway,6600
Kodai Ichihara,6000
Louis Oosthuizen,7900
Lucas Bjerregaard,6900
Marc Leishman,7600
Matt Kuchar,9000
Matt Wallace,7500
Matthew Fitzpatrick,7600
Matthew Wolff,7500
Max Homa,6400
Mikumu Horikawa,6100
Nate Lashley,6600
Patrick Cantlay,9400
Patrick Reed,7800
Paul Casey,8000
Phil Mickelson,7200
Philip Eriksson,6000
Poom Saksansin,6200
Rafael Cabrera Bello,7800
Rory McIlroy,10300
Sergio Garcia,7500
Shugo Imahira,6200
Sung Kang,6400
Thorbjorn Olesen,6800
Tommy Fleetwood,9600
Tony Finau,8400
Tyrrell Hatton,7700
Webb Simpson,8200
Xander Schauffele,9200
