Player,SlatePlayerID,Ownership,Sample,%:,Cut,Top 20,Top 5,Win,DK:,SD,Salary,Finish Pts,Scoring Pts,Points,Value,FD:,SD,Salary,Finish Pts,Scoring Pts,Points,Value
Rory McIlroy,13026437,14,150,,1,0.66485,0.2659,0.072,,21.22127298,10200,0,43.67653,43.68,1.36,,22.47806827,11700,6.861396,70.7307972,77.59,5.96
Dustin Johnson,13026436,15.55,150,,1,0.64335,0.24725,0.06585,,21.15638719,10400,0,43.40276,43.4,1.2,,22.47455285,12000,6.469352,70.099122,76.57,4.67
Justin Thomas,13026439,23.19,150,,1,0.55565,0.1831,0.04075,,19.9933926,9800,0,41.9421,45.94,-0.44,,22.01632018,11100,5.381712,65.7789588,75.16,5.36
Brooks Koepka,13026435,11.37,150,,1,0.54185,0.1788,0.040975,,20.22351921,10600,0,42.118485,45.12,0.1,,22.27803546,11900,5.445216,66.779652,75.22,3.15
Patrick Cantlay,13026442,18.09,150,,1,0.639025,0.2395,0.061675,,20.61479145,9200,0,43.48918,43.49,1.44,,22.11893795,10900,6.330692,68.5830208,74.91,6.86
Jon Rahm,13026440,13.82,150,,1,0.624475,0.2277,0.05625,,20.74642003,9600,0,43.414495,43.41,1.08,,22.18878352,11200,6.172756,68.1897776,74.36,5.35
Justin Rose,13026445,15,150,,1,0.562525,0.18605,0.0426,,19.84389999,8900,0,42.47801,42.48,0.79,,21.74843552,11000,5.547428,65.8953224,71.44,5.24
Henrik Stenson,13026452,11.55,150,,1,0.4385,0.1091,0.0208,,18.20903315,8200,0,40.449765,45.45,0.11,,20.71393668,10600,4.119824,60.8088492,69.93,6.13
Hideki Matsuyama,13026444,21,150,,1,0.528475,0.1694,0.03815,,19.68350696,9000,0,42.04256,42.04,0.22,,21.73103547,10500,5.056232,65.0534216,70.11,4.01
Xander Schauffele,13026443,19.37,150,,1,0.51445,0.16005,0.032975,,20.03431845,9100,0,41.638435,41.64,-0.31,,22.15455323,10800,5.077276,65.0006024,70.08,3.71
Adam Scott,13026450,16.46,150,,1,0.51125,0.1539,0.034475,,19.87555598,8400,0,41.12969,41.13,0.33,,22.10289256,10300,4.992232,64.311848,69.3,5.12
Tommy Fleetwood,13026438,7.36,150,,1,0.488825,0.141975,0.029425,,19.11737351,10000,0,41.170575,41.17,-1.21,,21.42297096,10700,4.724024,63.6555376,68.38,-0.03
Webb Simpson,13026446,19.37,150,,1,0.5109,0.1513,0.03175,,18.93070535,8800,0,41.412,41.41,-0.13,,21.16443768,9500,4.866872,63.4318168,68.3,3.29
Paul Casey,13026456,11,150,,1,0.495175,0.138725,0.027,,18.67833983,7900,0,40.71579,40.72,1.16,,21.00610213,9600,4.77916,63.0457904,67.82,5.47
Matt Kuchar,13026441,12.09,150,,1,0.48015,0.131325,0.02655,,18.8047807,9400,0,40.5289,40.53,-1.69,,21.25246915,10000,4.656384,62.6073672,67.26,0.86
Gary Woodland,13026451,11.55,150,,1,0.46535,0.1272,0.027725,,19.09912951,8300,0,40.268905,40.27,-0.31,,21.49407055,9100,4.489344,62.42023,66.91,3.7
Jason Day,13026454,13.37,150,,1,0.46845,0.12835,0.02515,,19.08887578,8000,0,40.596935,40.6,0.77,,21.61406177,10200,4.399536,62.378756,66.78,4.45
Bryson DeChambeau,13026448,19.37,150,,1,0.461675,0.12595,0.025575,,18.65514922,8600,0,40.97684,40.98,-0.22,,21.19208561,10400,4.251228,61.7737292,66.02,2.23
Tony Finau,13026447,14.73,150,,1,0.4317,0.111125,0.020975,,18.680972,8700,0,40.12386,40.12,-1.25,,21.18774893,9900,4.173756,61.0132028,65.19,1.35
Matthew Fitzpatrick,13026465,9.46,150,,1,0.35415,0.077,0.013925,,18.20854654,7500,0,39.225085,39.23,0.93,,21.0999194,9700,3.549824,58.9849764,62.53,2.83
Louis Oosthuizen,13026457,5.64,150,,1,0.36625,0.081,0.012875,,18.0098762,7900,0,38.88127,38.88,-0.67,,20.75174918,9400,3.43628,58.7205308,62.16,1.45
Tyrrell Hatton,13026468,7.18,150,,1,0.3557,0.0773,0.0136,,17.81920571,7400,0,39.40311,39.4,1.46,,20.65497228,8900,3.51962,58.603094,62.12,2.82
Sergio Garcia,13026462,10.18,150,,1,0.347925,0.075975,0.012125,,18.06079212,7600,0,39.126995,39.13,0.5,,21.02221714,8800,3.442776,58.2030712,61.65,1.93
Phil Mickelson,13026474,11.55,150,,1,0.16235,0.021575,0.002275,,15.58428324,7200,0,35.68313,43.68,-1.52,,18.97594677,9100,1.66492,49.6742028,59.34,1.41
Chez Reavie,13026455,15,150,,1,0.3584,0.07985,0.014125,,17.49579431,8000,0,39.23071,39.23,-0.6,,20.43757016,8700,3.443964,58.423356,61.87,0.96
Patrick Reed,13026453,18.55,150,,1,0.35695,0.0766,0.0133,,17.5053882,8100,0,38.760465,38.76,-1.33,,20.36014498,9300,3.413672,58.25068,61.66,0.53
Billy Horschel,13026463,22.55,150,,1,0.3362,0.0703,0.011825,,17.40409628,7600,0,38.823655,38.82,0.19,,20.27577602,9000,3.328384,57.9958788,61.32,1.69
Rafa Cabrera Bello,13026458,10.55,150,,1,0.336575,0.069675,0.0106,,17.6163246,7800,0,38.658505,38.66,-0.6,,20.59805403,8600,3.231932,57.0828408,60.31,0.41
Bubba Watson,13026476,10.46,150,,1,0.285675,0.05395,0.007925,,16.35125298,7100,0,38.40515,40.41,1.6,,19.61710557,8200,2.716824,55.0310952,59.75,1.98
Eddie Pepperell,13026477,3.36,150,,1,0.237025,0.042075,0.006325,,16.30000931,7000,0,37.126325,40.13,0.73,,19.68892404,8300,2.320532,53.9544352,59.27,1.92
