player,salary
Jon Rahm,10500
Brooks Koepka,10300
Patrick Cantlay,10100
Rory McIlroy,10000
Justin Rose,9800
Dustin Johnson,9600
Hideki Matsuyama,9400
Justin Thomas,9200
Webb Simpson,9100
Xander Schauffele,9000
Matthew Fitzpatrick,8900
Henrik Stenson,8800
Chez Reavie,8700
Billy Horschel,8600
Cameron Smith,8500
Tommy Fleetwood,8400
Adam Scott,8300
Tony Finau,8200
Andrew Putnam,8100
Bryson DeChambeau,8000
Ian Poulter,8000
Jason Day,7900
Matt Kuchar,7900
Bubba Watson,7800
Marc Leishman,7800
Nate Lashley,7700
Patrick Reed,7700
Tyrrell Hatton,7600
Alex Noren,7600
Shugo Imahira,7500
Kevin Na,7500
Jordan Spieth,7500
Paul Casey,7400
Thorbjorn Olesen,7400
Gary Woodland,7400
Jim Furyk,7300
Hao-Tong Li,7300
Rafa Cabrera Bello,7300
Sergio Garcia,7200
Matthew Wolff,7200
Corey Conners,7100
Louis Oosthuizen,7100
Matt Wallace,7000
Kevin Kisner,7000
Justin Harding,6900
Brandt Snedeker,6900
Phil Mickelson,6800
Danny Willett,6800
Keegan Bradley,6700
Eddie Pepperell,6700
Lucas Bjerregaard,6600
J.B. Holmes,6600
Keith Mitchell,6500
Max Homa,6500
C.T. Pan,6400
Sung Kang,6400
Adam Long,6300
Poom Saksansin,6300
Aaron Rai,6200
Kevin Tway,6200
Mikumu Horikawa,6100
Kodai Ichihara,6100
Philip Eriksson,6000
