Player_initial_last,tournament id,player id,DK_Hole_FP,DK_Streak_Bonus_FP,FD_Hole_FP,FD_Streak_Bonus_FP,player,tournament name,date,season,final position,DK_Finish_FP,FD_Finish_FP,DK_Total_FP,FD_Total_FP,major,made_cut,course,Finish,Score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
A. Albertson,401056252,10357,29.5,0,24.8,9.6,Anders Albertson,Safeway Open,10/7/2018,2019,NA,0,0,29.5,34.4,0,0,"Silverado - Napa, CA",CUT,1,-0.86,-1.21,-0.08,0.17,-1.12,-1.98
A. Albertson,401056503,10357,83.5,6,80.7,21.5,Anders Albertson,Sanderson Farms Championship,10/28/2018,2019,5,14,14,103.5,116.2,0,1,"Country Club of Jackson - Jackson, MS",T5,-14,-0.84,0.09,2.61,0.69,3.39,2.55
A. Albertson,401056504,10357,79.5,6,74.6,21,Anders Albertson,Shriners Hospital for Children Open,11/4/2018,2019,28,3,2,88.5,97.6,0,1,"TPC Summerlin - Las Vegas, NV",T28,-11,0.98,-0.14,0.01,0.12,-0.01,0.97
A. Albertson,401056505,10357,63,6,60.4,7.1,Anders Albertson,Mayakoba Golf Classic,11/11/2018,2019,55,0,0,69,67.5,0,1,"El Camaleon - Playa del Carmen, Mexico",NA,NA,NA,NA,NA,NA,NA,NA
A. Albertson,401056506,10357,74.5,6,74.2,19.2,Anders Albertson,The RSM Classic,11/18/2018,2019,15,6,5,86.5,98.4,0,1,"Sea Island - Sea Island, GA",T15,-13,-0.21,-0.02,0.61,0.45,1.04,0.83
A. Albertson,401056511,10357,36.5,0,35.4,10.2,Anders Albertson,Desert Classic,1/20/2019,2019,NA,0,0,36.5,45.6,0,0,"La Quinta CC - La Quinta, CA",T34,-14,0.77,-0.07,2.15,0.04,2.11,2.88
A. Albertson,401056512,10357,27,0,24.6,5,Anders Albertson,Farmers Insurance Open,2/27/2019,2019,NA,0,0,27,29.6,0,0,"Torrey Pines - La Jolla, CA",CUT,E,1.66,-1.11,1.42,-0.64,-0.34,1.32
A. Albertson,401056513,10357,20,0,14,5,Anders Albertson,Waste Management Phoenix Open,2/3/2019,2019,NA,0,0,20,19,0,0,"TPC Scottsdale - Scottsdale, AZ",CUT,6,0.55,-0.59,-1.66,-1.81,-4.05,-3.5
A. Albertson,401056514,10357,41.5,0,34.7,10.6,Anders Albertson,AT&T Pebble Beach Pro-Am,2/11/2019,2019,NA,0,0,41.5,45.3,0,0,"Spyglass Hill - Pebble Beach, CA",CUT,1,-2.15,-0.34,0.49,-0.04,0.11,-2.04
A. Albertson,401056515,10357,21,0,17.9,5,Anders Albertson,Genesis Open,2/14/2019,2019,NA,0,0,21,22.9,0,0,"Riviera - Pacific Palisades, CA",CUT,3,-1.62,1.71,-1.3,-0.26,0.15,-1.47
